Kompetenzelement,Frage,Antwortmöglichkeit,Ergänzende Informationen
04.05.01 Projektdesign,"Agile Projekte sind per Definition besonders kundenorientiert. Welche Rolle spielt der Kundenwert (Kundennutzen) bei der Steuerung eines Sprints? Markieren Sie die falsche Antwort.
a) Wenn sich Kundenbedürfnisse ändern, ändert sich auch der Kundenwert und der Backlog muss neu Priorisiert werden.
b) Der Kundenwert wird in Interviews ermittelt und soll sich während des Projekt nicht mehr ändern.
c) Die Priorisierung des Backlogs erfolgt laut Scrum durch den Product Owner, weil er am besten den Kundenwert kennt.
d) Der Kundenwert kann in Sprint Reviews validiert werden.

","b) Der Kundenwert wird in Interviews ermittelt und soll sich während des Projekt nicht mehr ändern.
","Agile Projekte sind per Definition besonders kundenorientiert. Welche Rolle spielt der Kundenwert (Kundennutzen) bei der Steuerung eines Sprints? Markieren Sie die falsche Antwort.
a) Wenn sich Kundenbedürfnisse ändern, ändert sich auch der Kundenwert und der Backlog muss neu Priorisiert werden.
b) Der Kundenwert wird in Interviews ermittelt und soll sich während des Projekt nicht mehr ändern.
c) Die Priorisierung des Backlogs erfolgt laut Scrum durch den Product Owner, weil er am besten den Kundenwert kennt.
d) Der Kundenwert kann in Sprint Reviews validiert werden.

"
04.05.01 Projektdesign,"Die Planung in agilen Projekten wird nicht zum Projektstart sondern (rollierend) zum Start jedes Sprints vorgenommen. Welche Aussagen gelten über die Ziele des Sprint Planning? Markieren Sie die falsche Antwort.
A) Nach dem Sprint Planning sind sich der Product Owner und das Team einig, was in dem Sprint erledigt werden soll.
B) Ziel des Sprint Planning ist, gemeinsam ein Sprint Backlog zu bilden.
C) Ziel des Sprint Planning ist, gemeinsam ein minimum viable product MVP zu definieren.
D) Ziel des Sprint Planning ist, die Anforderungen der relevanten Stakeholder zu ermitteln.
","D) Ziel des Sprint Planning ist, die Anforderungen der relevanten Stakeholder zu ermitteln.
Begründung: Schon von PO ermittelt und im Product backlog verortet!","Die Planung in agilen Projekten wird nicht zum Projektstart sondern (rollierend) zum Start jedes Sprints vorgenommen. Welche Aussagen gelten über die Ziele des Sprint Planning? Markieren Sie die falsche Antwort.
A) Nach dem Sprint Planning sind sich der Product Owner und das Team einig, was in dem Sprint erledigt werden soll.
B) Ziel des Sprint Planning ist, gemeinsam ein Sprint Backlog zu bilden.
C) Ziel des Sprint Planning ist, gemeinsam ein minimum viable product MVP zu definieren.
D) Ziel des Sprint Planning ist, die Anforderungen der relevanten Stakeholder zu ermitteln.
"
04.05.01 Projektdesign,"Erklären Sie das Vorgangsmodell SCRUM, nennen Sie Merkmale.","Scrum ist ein agiles Projektmanagement-Framework, das auf iterative Produktentwicklung in festen Zeitintervallen (Sprints) setzt und durch die Rollen Product Owner, Scrum Master und Entwicklungsteam, definierte Events (Sprint Planning, Daily Scrum, Review, Retrospektive) sowie Artefakte (Product Backlog, Sprint Backlog, Inkrement) gekennzeichnet ist. Zentrale Merkmale sind Selbstorganisation, Inspektion und Adaption, empirische Prozesssteuerung sowie kontinuierliche Verbesserung mit Fokus auf funktionsfähige Teilprodukte.

Iterative Vorgehensweise, Kundennähe, selbstbestimmte Arbeitsweise, Kommunikation, Flexibilität","Erklären Sie das Vorgangsmodell SCRUM, nennen Sie Merkmale."
04.05.01 Projektdesign,Für welche Projekte eignet sich Scrum besonders?,"Komplexe Projekte mit unsicheren/ändernden Anforderungen (z. B. Software, Produktdesign, agile Branchen). Ideal für iterative Umsetzung, regelmäßiges Feedback und flexible Anpassung.",Für welche Projekte eignet sich Scrum besonders?
04.05.01 Projektdesign,Nenne die Scrum-Werte! ,"Mut (für Neues und nicht perfekt zu sein), 
Fokus (auf die gemeinsamen Ziele und Aufgaben), 
Offenheit (für neue Informationen und Erfahrungen), 
Respekt (anderen und sich selbst gegenüber), 
Commitment (Selbstverpflichtung, freiwillig und selbstverantwortlich bei der Arbeit im Team)",Nenne die Scrum-Werte! 
04.05.01 Projektdesign,Nennen Sie drei mögliche Artefakte in Scrum.,"- Produkt Backlog
- Sprint Backlog
- Product Incremnent
",Nennen Sie drei mögliche Artefakte in Scrum.
04.05.01 Projektdesign,Was ist „agil“?,"flexibel, selbstorganisiert, iterativ mit zum Teil undefinierten Zielen

Alternativantwort:
Flexibilität, Anpassungsfähig und kontinuierliche Verbesserung.
",Was ist „agil“?
04.05.01 Projektdesign,Was sind Erfolgsfaktoren des agilen Projektmanagements bei dessen Anwendung. Nennen Sie drei!,"Drei Erfolgsfaktoren des agilen Projektmanagements:
Dediziertes, selbstorganisiertes Team – interdisziplinär, hoher Reifegrad, 100% Projektverfügbarkeit
Aktiv mitwirkender Auftraggeber – Vertrauen, iterative Reviews, kontinuierliches Feedback
Strikte Rollenklarheit – Product Owner, Scrum Master, Team mit klar abgegrenzten Verantwortlichkeiten
Alle drei Faktoren folgen dem empirischen Prozessmodell (Transparenz → Inspektion → Adaption) als agilem Grundprinzip.",Was sind Erfolgsfaktoren des agilen Projektmanagements bei dessen Anwendung. Nennen Sie drei!
04.05.01 Projektdesign,Was versteht man bei agilen Projekten unter Iteration?,"Iteration = Sich wiederholender Zeitraum gleichbleibender Länge (z. B. Sprint in Scrum), um schrittweise Projektziel zu entwickeln.",Was versteht man bei agilen Projekten unter Iteration?
04.05.01 Projektdesign,"Welche Aussage trifft auf scrum nicht zu?
a) Der aus der Softwareentwicklung stammt,
b) Mit dem vor allem Softwareentwicklung bearbeitet werden kann,  
c) Der in allen Arten von Projekten zum Erfolg führt, 
d) In dem das Team selbstorientiert arbeitet. ","c) Der in allen Arten von Projekten zum Erfolg führt, ","Welche Aussage trifft auf scrum nicht zu?
a) Der aus der Softwareentwicklung stammt,
b) Mit dem vor allem Softwareentwicklung bearbeitet werden kann,  
c) Der in allen Arten von Projekten zum Erfolg führt, 
d) In dem das Team selbstorientiert arbeitet. "
04.05.01 Projektdesign,Wer ist der Projektleiter in Scrum?,"
In Scrum gibt es keinen klassischen Projektleiter. Stattdessen werden die Aufgaben auf mehrere Rollen verteilt:
1. Product Owner: Verantwortlich für das Product-Backlog und die Priorisierung der Anforderungen.
2. Scrum Master: Unterstützt das Team, moderiert Prozesse und beseitigt Hindernisse.
3. Entwicklungsteam: Selbstorganisiert und verantwortlich für die Umsetzung der Aufgaben.
Die Verantwortung des Projektleiters wird also auf diese Rollen gleichermaßen aufgeteilt (laterale Hierarchie)!
",Wer ist der Projektleiter in Scrum?
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Warum  eigentlich auch a) falsch eigentlich auch  ist: Scrum ist ein Rahmenwerk und keine Methodik mit festen Vorschriften für Techniken. Der Scrum Guide definiert lediglich Product-Backlog-Einträge (Product Backlog Items), schreibt aber nicht vor, dass diese zwingend als „User Stories“ oder „Epics“ formuliert sein müssen,. Zwar sind User Stories eine gängige und nützliche Praxis innerhalb von Scrum,, sie sind aber keine feste, unveränderliche Vorgabe des Rahmenwerks selbst. Der Scrum Guide 2020 hat vorschreibende Sprache bezüglich der Attribute von Backlog-Einträgen sogar explizit entfernt, um weniger präskriptiv zu sein"
04.05.02 Anforderungen und Ziele,"Bei welcher Zielkategorie werden Ziele eingliedert, bei denen zu prüfen ist, ob der Aufwand gerechtfertigt ist? Beschreiben Sie alle Zielkategorien.","Kann-Ziele: können ggf. gestrichen werden (aufgrund Ziel-Priorisierung und Budget-Abgleich; Kosten-Nutzen abgleichen)
Muss-Ziele: müssen erreicht werden, da sonst das Projektziel gefährdet ist
Soll-Ziele: Abstriche in der Zielerreichung möglich, z.B. 70% erreicht
Nicht - Ziele wollen wir nicht erfüllen , nicht nötig","Bei welcher Zielkategorie werden Ziele eingliedert, bei denen zu prüfen ist, ob der Aufwand gerechtfertigt ist? Beschreiben Sie alle Zielkategorien."
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  

a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  

a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,In Nordafrika soll eine Solaranlage gebaut werden. Nennen Sie drei Anforderungen an die Mitarbeiter!,"Die Mitarbeiter müssen gewillt sein, im Ausland zu arbeiten. Die Mitarbeiter müssen alle Schutzimpfungen für das entsprechende Land vorweisen können. Da sie vor Ort mit einheimischen Arbeitskräften zusammenarbeiten müssen, sind Kenntnisse der englischen Sprache zwingend erforderlich, Kenntnisse der Landessprache erwünscht.",In Nordafrika soll eine Solaranlage gebaut werden. Nennen Sie drei Anforderungen an die Mitarbeiter!
04.05.02 Anforderungen und Ziele,Landstraße zwischen Dorf A und Stadt B wird gebaut. Nennen Sie Leistungsziele!,"Es wird eine 7km lange, 6 m breite Asphaltfahrbahn mit beidseitigen Banketten von jeweils 1 m bis zum 31.08.2026 gebaut.
Entlang der gesamten Strecke werden mindestens drei ausgewiesene Ausweichbuchten mit Beschilderung errichtet, die das Begegnen von Lkw ermöglichen.
Es werden zwei Brückenbauwerke mit jeweils mindestens 50 Jahren rechnerischer Nutzungsdauer und der Lastklasse nach aktueller Norm erstellt.",Landstraße zwischen Dorf A und Stadt B wird gebaut. Nennen Sie Leistungsziele!
04.05.02 Anforderungen und Ziele,Nennen Sie ein Leistungsziel für das Projekt „Hundehütte für Hund Struppi bauen“! ,"Bis 31.05.2026 ist eine isolierte Hundehütte mit Innenmaßen von mindestens 1,0 m Länge, 0,7 m Breite und 0,8 m Höhe fertiggestellt.
Wände, Boden und Dach werden mit einer mindestens 30mm starken Dämmung ausgeführt und außen mit wetterfest lasiertem Holz verkleidet.",Nennen Sie ein Leistungsziel für das Projekt „Hundehütte für Hund Struppi bauen“! 
04.05.02 Anforderungen und Ziele,Nennen Sie für das Projekt „Renovierung der Wohnung“ 4 Arbeitspakete!,"1.Streichen
2.Verlegen des Bodens
3.Montage neuer Möbel
4.Reinigung und Abnahme",Nennen Sie für das Projekt „Renovierung der Wohnung“ 4 Arbeitspakete!
04.05.02 Anforderungen und Ziele,"Warum sollte der Projektsteckbrief auf eine Seite passen?
a) Ist ein Überblick über das Projekt für das TOP-Mgmt
b) Projekte sind immer einfach
c) Details versteht keiner außer den Fachexperten
d) Nachhaltig, da papiersparend",a) Ist ein Überblick über das Projekt für das TOP-Mgmt (One Pager),"Warum sollte der Projektsteckbrief auf eine Seite passen?
a) Ist ein Überblick über das Projekt für das TOP-Mgmt
b) Projekte sind immer einfach
c) Details versteht keiner außer den Fachexperten
d) Nachhaltig, da papiersparend"
04.05.02 Anforderungen und Ziele,Was bedeutet die SMART*Formel bei der Zieldefinition und geben Sie ein Beispiel für ein SMART*Ziel.,"Spezifisch 
Messbar
Akzeptiert
Realistisch
Terminiert
SMART hilft dabei, Ziele zu konkretisieren, um Missverständnisse und Abweichungen von den Vorstellungen des Kunden zu vermeiden
Bsp.: 
Beschleunigung des DMS (Dokumentationsmanagement-Systems) um 20 Prozent bis 4. Quartal 2025 beschleunigen.
Wir steigern unsere Markenbekanntheit im 3. Quartal 2025 um 5 % im Vergleich zum 3. Quartal 2024.
/Absolvierung einer Fortbildung zur Projektmanagerin (spezifisch) mit Zertifikat (messbar) innerhalb der nächsten 4 Wochen (Timeline), in dem ich täglich 7 Stunden (realistisch) am Unterricht teilnehme (akzeptiert, erreichbar)
",Was bedeutet die SMART*Formel bei der Zieldefinition und geben Sie ein Beispiel für ein SMART*Ziel.
04.05.02 Anforderungen und Ziele,Was ist das: Projektfreigabe?,"Mit der Unterschrift unter einen Projektantrag gibt der Auftraggeber am Ende der Definitionsphase das Projekt frei  (genehmigt er...) zur weiteren Bearbeitung.
Formelle Genehmigung und offizielle Beauftragung des Projektes durch den Lenkungsausschuss  Seite 185 - Dittmann",Was ist das: Projektfreigabe?
04.05.02 Anforderungen und Ziele,Was versteht man unter Scope Creep?,"Scope Creep bezeichnet die schleichende, unkontrollierte Erweiterung des Projektumfangs durch zusätzliche Anforderungen ohne Anpassung von Zeit, Budget oder Ressourcen.",Was versteht man unter Scope Creep?
04.05.02 Anforderungen und Ziele,Was wird unter einer Projektfreigabe verstanden? ,"Eine Projektfreigabe ist die formale Genehmigung zur Freisetzung von Projektressourcen und zum Start der Projektdurchführung. Sie markiert den Übergang von der Planungsphase zur Ausführungsphase und setzt voraus, dass Ziele, Budget, Risiken und Stakeholder-Anforderungen geklärt sind.",Was wird unter einer Projektfreigabe verstanden? 
04.05.02 Anforderungen und Ziele,"Welche Funktionen erfüllen Ziele im Projektmanagement? Markieren Sie die falsche Antwort.
A) Preisfunktion
B) Kontrollfunktion
C) Selektionsfunktion
D) Orientierungsfunktion",A)Preisfunktion,"Welche Funktionen erfüllen Ziele im Projektmanagement? Markieren Sie die falsche Antwort.
A) Preisfunktion
B) Kontrollfunktion
C) Selektionsfunktion
D) Orientierungsfunktion"
04.05.02 Anforderungen und Ziele,"Welche Zielkategorien gibt es?
a) Muss - Soll - Kann - Nicht 
b) Must-have  nice-too-have
c) Alles muss
d)  Flexible Ziele ",a) Muss - Soll - Kann - Nicht ,"Welche Zielkategorien gibt es?
a) Muss - Soll - Kann - Nicht 
b) Must-have  nice-too-have
c) Alles muss
d)  Flexible Ziele "
04.05.02 Anforderungen und Ziele,"Weshalb ist es sinnvoll, auch Nichtziele anzugeben?","Um den Leistungsumfang des Projektes klar abzugrenzen und zum Projektstart eine bessere Planungsbasis zu haben.
Nicht-Ziele (Out of Scope)
","Weshalb ist es sinnvoll, auch Nichtziele anzugeben?"
04.05.02 Anforderungen und Ziele,Wie können Sie unerwünschte Steigerungen / Erhöhungen des Leistungsumfangs (scope creep) vermeiden? Nennen Sie einen methodischen Ansatz ,"Um unerwünschte Steigerungen des Leistungsumfangs (Scope Creep) zu vermeiden, ist ein methodischer Ansatz das Change Management. Dabei werden alle Änderungen am Projektumfang systematisch dokumentiert, bewertet und erst nach Zustimmung aller relevanten Stakeholder umgesetzt. So bleibt der Projektumfang kontrolliert, Ressourcen und Zeitpläne stabil",Wie können Sie unerwünschte Steigerungen / Erhöhungen des Leistungsumfangs (scope creep) vermeiden? Nennen Sie einen methodischen Ansatz 
04.05.02 Anforderungen und Ziele,Ziele sollen SMART definiert werden. Was bedeutet das Akronym SMART? (deutsch oder englisch). Geben Sie ein Beispiel für ein SMART beschriebenes Ziel.,"Spezifisch
Messbar
Akzeptiert
Realistisch
Terminiert
Bsp.: 
Beschleunigung des DMS (Dokumentationsmanagement-Systems) um 20 Prozent bis 4. Quartal 2025 beschleunigen.
Wir steigern unsere Markenbekanntheit im 3. Quartal 2025 um 5 % im Vergleich zum 3. Quartal 2024.
",Ziele sollen SMART definiert werden. Was bedeutet das Akronym SMART? (deutsch oder englisch). Geben Sie ein Beispiel für ein SMART beschriebenes Ziel.
04.05.02 Anforderungen und Ziele,Zwischen A*Heim und B*Dorf soll eine Landesstraße neu gebaut werden. Definieren Sie zwei (2) Ergebnisziele.,"Zu festgelgten Kosten gem. Kostenplanung
Zu festgelegter Zeit gem. Terminplan
/
Bis Projektende sinkt die durchschnittliche Fahrzeit zwischen Dorf A und Dorf B im Vergleich zur Ausgangssituation um mindestens 40 %.
Spätestens 6 Monate nach Verkehrsfreigabe nutzen mindestens 70 % der Pendler zwischen A und B regelmäßig die neue Straße.",Zwischen A*Heim und B*Dorf soll eine Landesstraße neu gebaut werden. Definieren Sie zwei (2) Ergebnisziele.
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
04.05.02 Anforderungen und Ziele,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories",a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. ,"Für die Formulierung der Anforderungen gibt es in Scrum feste Vorgaben. Welche Aussagen gelten für die Formulierung der Anforderungen an das Produkt / Projekt? Markieren Sie die falsche Antwort.  
Problemtext
a) die Anforderungen werden im Produkt Backlog in Form von Epics und Userstorys definiert. 
b) eine User Story hat das Format Als (Rolle) möchte ich (Ziel/ Wunsch/Funktion) um (Nutzen). 
c) Eine Userstory sollte in einem Sprint fertiggestellt werden. 
d) Epics sind länger dauernde User Stories"
